data,moeda,close,media_movel_200
2024-07-04,ETH/USDT,3059.7,3088.71635
2024-07-05,ETH/USDT,2981.78,3092.5281
2024-07-06,ETH/USDT,3066.83,3096.9727
2024-07-07,ETH/USDT,2931.0,3100.61685
2024-07-08,ETH/USDT,3019.01,3104.5138500000003
2024-07-09,ETH/USDT,3066.65,3108.2244
2024-07-10,ETH/USDT,3101.05,3112.1886500000005
2024-07-11,ETH/USDT,3099.57,3116.36625
2024-07-12,ETH/USDT,3133.88,3120.6789000000003
2024-07-13,ETH/USDT,3175.93,3125.4041500000003
2024-07-14,ETH/USDT,3245.08,3129.7378000000003
2024-07-15,ETH/USDT,3483.39,3135.434
2024-07-16,ETH/USDT,3444.13,3141.15865
2024-07-17,ETH/USDT,3387.05,3146.6355
2024-07-18,ETH/USDT,3426.5,3152.35865
2024-07-19,ETH/USDT,3503.53,3158.1160999999997
2024-07-20,ETH/USDT,3517.5,3163.9269
2024-07-21,ETH/USDT,3535.92,3170.5579000000002
2024-07-22,ETH/USDT,3439.6,3176.4203500000003
2024-07-23,ETH/USDT,3482.51,3182.489
2024-07-24,ETH/USDT,3335.81,3187.96415
2024-07-25,ETH/USDT,3175.48,3192.73445
2024-07-26,ETH/USDT,3274.61,3197.4553
2024-07-27,ETH/USDT,3249.01,3201.9789
2024-07-28,ETH/USDT,3270.16,3205.4077999999995
2024-07-29,ETH/USDT,3317.66,3208.9060499999996
2024-07-30,ETH/USDT,3279.21,3212.6894
2024-07-31,ETH/USDT,3232.74,3215.96215
2024-08-01,ETH/USDT,3203.4,3219.6148
2024-08-02,ETH/USDT,2989.61,3222.00395
2024-08-03,ETH/USDT,2903.64,3223.5851500000003
2024-08-04,ETH/USDT,2688.92,3224.3788
2024-08-05,ETH/USDT,2419.59,3224.1227000000003
2024-08-06,ETH/USDT,2461.33,3223.96935
2024-08-07,ETH/USDT,2342.8,3223.3233
2024-08-08,ETH/USDT,2682.5,3224.45055
2024-08-09,ETH/USDT,2598.78,3225.8734500000005
2024-08-10,ETH/USDT,2609.92,3227.7100499999997
2024-08-11,ETH/USDT,2555.38,3229.31185
2024-08-12,ETH/USDT,2722.3,3231.8301500000002
2024-08-13,ETH/USDT,2702.44,3234.0039500000003
2024-08-14,ETH/USDT,2661.45,3235.9715
2024-08-15,ETH/USDT,2569.89,3237.53645
2024-08-16,ETH/USDT,2592.73,3238.9121
2024-08-17,ETH/USDT,2614.51,3240.2696
2024-08-18,ETH/USDT,2612.15,3241.91465
2024-08-19,ETH/USDT,2636.36,3243.57505
2024-08-20,ETH/USDT,2572.82,3244.89385
2024-08-21,ETH/USDT,2630.71,3246.5649500000004
2024-08-22,ETH/USDT,2622.88,3248.2304000000004
2024-08-23,ETH/USDT,2762.48,3250.53365
2024-08-24,ETH/USDT,2768.0,3252.51045
2024-08-25,ETH/USDT,2746.13,3254.1156
2024-08-26,ETH/USDT,2680.49,3255.4203
2024-08-27,ETH/USDT,2457.33,3255.2741499999997
2024-08-28,ETH/USDT,2528.33,3255.4145999999996
2024-08-29,ETH/USDT,2527.61,3255.5166000000004
2024-08-30,ETH/USDT,2526.0,3254.8466500000004
2024-08-31,ETH/USDT,2513.01,3254.2117500000004
2024-09-01,ETH/USDT,2425.72,3252.4663
2024-09-02,ETH/USDT,2538.01,3251.0434000000005
2024-09-03,ETH/USDT,2425.29,3249.1608499999998
2024-09-04,ETH/USDT,2450.71,3247.4847500000005
2024-09-05,ETH/USDT,2368.81,3244.9228
2024-09-06,ETH/USDT,2225.23,3241.32495
2024-09-07,ETH/USDT,2273.58,3237.6188
2024-09-08,ETH/USDT,2297.3,3234.2657999999997
2024-09-09,ETH/USDT,2359.5,3231.2063
2024-09-10,ETH/USDT,2388.52,3228.5377000000003
2024-09-11,ETH/USDT,2340.55,3225.2773500000003
2024-09-12,ETH/USDT,2361.76,3221.5232
2024-09-13,ETH/USDT,2439.19,3217.83945
2024-09-14,ETH/USDT,2417.79,3213.7166
2024-09-15,ETH/USDT,2316.1,3208.3815999999997
2024-09-16,ETH/USDT,2295.68,3203.1595500000003
2024-09-17,ETH/USDT,2341.8,3197.7014
2024-09-18,ETH/USDT,2374.75,3192.46815
2024-09-19,ETH/USDT,2465.21,3187.3551500000003
2024-09-20,ETH/USDT,2561.4,3182.0233499999995
2024-09-21,ETH/USDT,2612.4,3177.3171
2024-09-22,ETH/USDT,2581.0,3171.1291499999998
2024-09-23,ETH/USDT,2646.97,3165.0201999999995
2024-09-24,ETH/USDT,2653.2,3158.8694
2024-09-25,ETH/USDT,2579.95,3152.2431
2024-09-26,ETH/USDT,2632.26,3146.0120500000003
2024-09-27,ETH/USDT,2694.43,3139.1602000000003
2024-09-28,ETH/USDT,2675.21,3132.63645
2024-09-29,ETH/USDT,2657.62,3125.9006
2024-09-30,ETH/USDT,2602.23,3119.50325
2024-10-01,ETH/USDT,2447.79,3113.03125
2024-10-02,ETH/USDT,2364.1,3107.2363
2024-10-03,ETH/USDT,2349.8,3100.7617500000006
2024-10-04,ETH/USDT,2414.41,3095.2315
2024-10-05,ETH/USDT,2414.66,3091.5116
2024-10-06,ETH/USDT,2440.03,3086.1291
2024-10-07,ETH/USDT,2422.71,3080.7783999999997
2024-10-08,ETH/USDT,2440.89,3076.3010999999997
2024-10-09,ETH/USDT,2370.47,3071.5057999999995
2024-10-10,ETH/USDT,2386.49,3066.16335
2024-10-11,ETH/USDT,2439.5,3060.40875
2024-10-12,ETH/USDT,2476.4,3054.8540999999996
2024-10-13,ETH/USDT,2468.91,3049.6927
2024-10-14,ETH/USDT,2629.79,3045.0392000000006
2024-10-15,ETH/USDT,2607.41,3040.5275500000002
2024-10-16,ETH/USDT,2611.1,3036.05485
2024-10-17,ETH/USDT,2605.8,3030.8574
2024-10-18,ETH/USDT,2642.17,3026.5492500000005
2024-10-19,ETH/USDT,2648.2,3023.39545
2024-10-20,ETH/USDT,2746.91,3020.57585
2024-10-21,ETH/USDT,2666.7,3017.2723499999997
2024-10-22,ETH/USDT,2622.81,3013.7971500000003
2024-10-23,ETH/USDT,2524.61,3009.6622500000003
2024-10-24,ETH/USDT,2535.82,3005.07035
2024-10-25,ETH/USDT,2440.62,2998.8003999999996
2024-10-26,ETH/USDT,2482.51,2993.6809999999996
2024-10-27,ETH/USDT,2507.8,2988.4918
2024-10-28,ETH/USDT,2567.48,2983.8165999999997
2024-10-29,ETH/USDT,2638.8,2980.8234500000003
2024-10-30,ETH/USDT,2659.19,2979.08435
2024-10-31,ETH/USDT,2518.61,2975.90185
2024-11-01,ETH/USDT,2511.49,2972.94935
2024-11-02,ETH/USDT,2494.23,2969.9994
2024-11-03,ETH/USDT,2457.73,2967.3610000000003
2024-11-04,ETH/USDT,2398.21,2964.03005
2024-11-05,ETH/USDT,2422.55,2960.8605000000007
2024-11-06,ETH/USDT,2721.87,2958.6909
2024-11-07,ETH/USDT,2895.47,2957.4299
2024-11-08,ETH/USDT,2961.75,2956.23765
2024-11-09,ETH/USDT,3126.21,2955.7714
2024-11-10,ETH/USDT,3183.21,2955.9834499999997
2024-11-11,ETH/USDT,3371.59,2957.0624
2024-11-12,ETH/USDT,3243.8,2957.6249
2024-11-13,ETH/USDT,3187.16,2957.2828999999997
2024-11-14,ETH/USDT,3058.82,2956.25975
2024-11-15,ETH/USDT,3090.01,2955.62615
2024-11-16,ETH/USDT,3132.87,2956.22025
2024-11-17,ETH/USDT,3076.0,2956.7379499999997
2024-11-18,ETH/USDT,3207.8,2957.8459999999995
2024-11-19,ETH/USDT,3107.44,2957.87015
2024-11-20,ETH/USDT,3069.97,2957.63385
2024-11-21,ETH/USDT,3355.81,2958.7308499999995
2024-11-22,ETH/USDT,3327.78,2960.0567499999997
2024-11-23,ETH/USDT,3393.91,2961.99785
2024-11-24,ETH/USDT,3361.2,2963.9327999999996
2024-11-25,ETH/USDT,3414.49,2965.8241
